Rank,ID,"Last Name","First Name",Position,Team,Points,VBD,"Bye Week"
338,531,"Ravens","Baltimore",D,BAL,88.4,69.0,10
339,14998,"Patmon","Dezmon",WR,IND,11.8,68.5,14
340,517,"Giants","New York",D,NYG,87.7,68.2,9
341,15332,"Tremble","Tommy",TE,CAR,25.0,68.0,13
342,11886,"Williams","Damien",RB,ATL,27.0,67.7,14
343,526,"Falcons","Atlanta",D,ATL,86.9,67.4,14
344,13641,"McCloud","Ray-Ray",WR,SFO,10.6,67.3,9
345,14727,"Reynolds","Craig",RB,DET,26.3,67.2,6
346,8269,"Lewis","Marcedes",TE,GBP,23.8,66.9,14
347,515,"Seahawks","Seattle",D,SEA,86.5,66.9,11
348,12261,"Montgomery","Ty",RB,NEP,25.3,66.4,10
349,15285,"Wallace","Tylan",WR,BAL,9.5,66.3,10
350,14876,"Deguara","Josiah",TE,GBP,23.0,66.1,14
351,13994,"Brown","Pharaoh",TE,HOU,22.7,65.8,6
352,15241,"Jones","Mac",QB,NEP,239.6,65.7,10
353,13316,"Taylor","Trent",WR,CIN,8.7,65.6,10
354,511,"Broncos","Denver",D,DEN,85.2,65.5,9
355,13893,"Sherfield","Trent",WR,MIA,8.5,65.5,11
356,14125,"Boykin","Miles",WR,PIT,8.4,65.3,9
357,14828,"Jones","Tony",RB,NOS,23.8,65.3,14
358,15789,"Watson","Christian",WR,GBP,7.9,64.9,14
359,13678,"Thomas","Ian",TE,CAR,21.7,64.8,13
360,12212,"Kroft","Tyler",TE,SFO,21.4,64.5,9
361,15541,"Stoll","Jack",TE,PHI,21.4,64.5,7
362,14801,"Benjamin","Eno",RB,ARI,22.6,64.4,13
363,15901,"Philips","Kyle",WR,TEN,7.1,64.1,6
364,14821,"Hasty","JaMycal",RB,JAC,22.2,64.1,11
365,14315,"Dulin","Ashton",WR,IND,6.8,63.8,14
366,15270,"Felton","Demetric",RB,CLE,21.3,63.4,9
367,14861,"Johnson","Juwan",TE,NOS,20.0,63.1,14
368,14101,"Harry","N'Keal",WR,CHI,6.0,63.1,14
369,15749,"Pacheco","Isiah",RB,KCC,20.8,63.0,8
370,15761,"Shakir","Khalil",WR,BUF,5.4,62.6,7
371,15900,"Washington","Montrell",WR,DEN,5.1,62.3,9
372,14316,"Hart","Penny",WR,SEA,4.9,62.1,11
373,15799,"Ferguson","Jake",TE,DAL,18.9,62.1,9
374,12680,"Vannett","Nick",TE,NOS,18.7,61.8,14
375,15626,"Wright","Brock",TE,DET,18.6,61.8,6
376,15313,"McMath","Racey",WR,TEN,4.4,61.7,6
377,12443,"Kumerow","Jake",WR,BUF,4.2,61.5,7
378,15782,"Gray","Danny",WR,SFO,3.9,61.2,9
379,15303,"Fehoko","Simi",WR,DAL,3.7,61.0,9
380,15720,"Haskins","Hassan",RB,TEN,17.9,60.9,6
381,15797,"Dulcich","Greg",TE,DEN,17.4,60.6,9
382,15297,"Rodgers","Amari",WR,GBP,3.1,60.5,14
383,16005,"Jones","Tim",WR,JAC,2.9,60.3,11
384,522,"Lions","Detroit",D,DET,80.3,60.1,6
385,13963,"Hodge","KhaDarel",WR,ATL,2.7,60.1,14
386,16001,"Bernhardt","Jared",WR,ATL,2.6,60.0,14
387,15419,"Granson","Kylen",TE,IND,16.8,60.0,14
388,15296,"Schwartz","Anthony",WR,CLE,2.4,59.8,9
389,14370,"Hudson","Tanner",TE,NYG,16.5,59.7,9
390,15478,"Strachan","Mike",WR,IND,2.3,59.7,14
391,15220,"Williams","Antonio",RB,NYG,16.1,59.5,9
392,15414,"Nwangwu","Kene",RB,MIN,16.1,59.5,7
393,15709,"Spiller","Isaiah",RB,LAC,15.6,59.2,8
394,14110,"Sills","David",WR,NYG,1.6,59.1,9
395,13910,"Powell","Brandon",WR,LAR,1.6,59.1,7
396,15996,"Virgil","Jalen",WR,DEN,1.4,58.9,9
397,14555,"Olszewski","Gunner",WR,PIT,1.3,58.8,9
398,15779,"Doubs","Romeo",WR,GBP,1.2,58.8,14
399,9921,"Roberts","Andre",WR,CAR,1.1,58.7,13
400,15792,"Woods","Michael",WR,CLE,1.1,58.6,9
401,15277,"Jackson","Deon",RB,IND,14.9,58.6,14
402,12923,"Ham","C.J.",RB,MIN,14.9,58.6,7
403,15317,"Stevenson","Marquez",WR,BUF,0.9,58.5,7
404,15941,"Young","Dareke",WR,SEA,0.9,58.5,11
405,14131,"Morgan","Stanley",WR,CIN,0.8,58.4,10
406,15995,"Turner","DJ",WR,LVR,0.7,58.3,6
407,13776,"Watson","Justin",WR,KCC,0.4,58.0,8
408,9200,"Slater","Matt",WR,NEP,0.2,57.8,10
409,15983,"Houston","Dennis",WR,DAL,0.2,57.8,9
410,15787,"Thornton","Tyquan",WR,NEP,0.2,57.8,10
411,13312,"Adams","Rodney",WR,NYJ,0.0,57.6,10
428,15301,"Atwell","Tutu",WR,LAR,-0.0,57.6,7
429,15777,"Austin III","Calvin",WR,PIT,-0.3,57.4,9
430,15275,"Evans","Chris",RB,CIN,12.4,56.7,10
431,12955,"Manhertz","Chris",TE,JAC,13.0,56.3,11
432,15716,"Robinson","Brian",RB,WAS,11.0,55.7,14
